run_id,timestamp_utc,seed,sample_size,sample_scope,case_id,scenario,fault_type,selection_order,selection_order_in_scenario,case_path,case_kind,panic_strategy,supported_on_host,executed,success,triggered,panic_detected,memory_error_detected,build_failed,timeout,exit_code,exit_code_hex,termination_signal,termination_kind,duration_sec,log_path,error_reason,platform,python_version,cargo_path,cargo_target,cargo_linker
trophy-case__runes-test_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,trophy-case__runes-test,S2,trophy_case,6,5,testcases/trophy-case__runes-test,cargo_bin,unwind,True,True,False,True,True,False,False,False,101,0x00000065,,panic_unwind,0.050981,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\trophy-case__runes-test_unwind.log,panic_unwind,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
trophy-case__runes-test_abort,2026-03-27T14:41:58+00:00,42,20,runnable,trophy-case__runes-test,S2,trophy_case,6,5,testcases/trophy-case__runes-test,cargo_bin,abort,True,True,False,True,True,False,False,False,3221226505,0xC0000409,,panic_abort,1.081584,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\trophy-case__runes-test_abort.log,panic_abort,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unit-tests__iterator_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unit-tests__iterator,S2,unit_test,7,6,testcases/tests__unit-tests__iterator,cargo_bin,unwind,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.094793,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unit-tests__iterator_unwind.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unit-tests__iterator_abort,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unit-tests__iterator,S2,unit_test,7,6,testcases/tests__unit-tests__iterator,cargo_bin,abort,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.090248,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unit-tests__iterator_abort.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
trophy-case__spglib-test_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,trophy-case__spglib-test,S2,trophy_case,8,7,testcases/trophy-case__spglib-test,cargo_bin,unwind,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.091616,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\trophy-case__spglib-test_unwind.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
trophy-case__spglib-test_abort,2026-03-27T14:41:58+00:00,42,20,runnable,trophy-case__spglib-test,S2,trophy_case,8,7,testcases/trophy-case__spglib-test,cargo_bin,abort,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.091307,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\trophy-case__spglib-test_abort.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unit-tests__vector_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unit-tests__vector,S2,unit_test,9,8,testcases/tests__unit-tests__vector,cargo_bin,unwind,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.093369,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unit-tests__vector_unwind.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unit-tests__vector_abort,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unit-tests__vector,S2,unit_test,9,8,testcases/tests__unit-tests__vector,cargo_bin,abort,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.089929,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unit-tests__vector_abort.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__safe-bugs__out-of-bound-index_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,tests__safe-bugs__out-of-bound-index,S2,bounds_error,10,9,testcases/tests__safe-bugs__out-of-bound-index,cargo_bin,unwind,True,True,False,True,True,False,False,False,101,0x00000065,,panic_unwind,0.052761,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__safe-bugs__out-of-bound-index_unwind.log,panic_unwind,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__safe-bugs__out-of-bound-index_abort,2026-03-27T14:41:58+00:00,42,20,runnable,tests__safe-bugs__out-of-bound-index,S2,bounds_error,10,9,testcases/tests__safe-bugs__out-of-bound-index,cargo_bin,abort,True,True,False,True,True,False,False,False,3221226505,0xC0000409,,panic_abort,1.0927,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__safe-bugs__out-of-bound-index_abort.log,panic_abort,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
trophy-case__executable-memory-test_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,trophy-case__executable-memory-test,S2,trophy_case,11,10,testcases/trophy-case__executable-memory-test,cargo_bin,unwind,True,True,False,True,True,False,False,False,101,0x00000065,,panic_unwind,0.060335,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\trophy-case__executable-memory-test_unwind.log,panic_unwind,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
trophy-case__executable-memory-test_abort,2026-03-27T14:41:58+00:00,42,20,runnable,trophy-case__executable-memory-test,S2,trophy_case,11,10,testcases/trophy-case__executable-memory-test,cargo_bin,abort,True,True,False,True,True,False,False,False,3221226505,0xC0000409,,panic_abort,1.091332,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\trophy-case__executable-memory-test_abort.log,panic_abort,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
