"删维组别","样例编号","是否还能唯一归类","候选场景集合"
"去掉触发位置边界后的判定结果","EX033","是","S2"
"去掉资源所处状态后的判定结果","EX033","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX033","否","S1|S2"
"去掉触发位置边界后的判定结果","EX034","是","S2"
"去掉资源所处状态后的判定结果","EX034","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX034","否","S1|S2"
"去掉触发位置边界后的判定结果","EX035","是","S2"
"去掉资源所处状态后的判定结果","EX035","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX035","否","S1|S2"
"去掉触发位置边界后的判定结果","EX036","是","S2"
"去掉资源所处状态后的判定结果","EX036","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX036","否","S1|S2"
"去掉触发位置边界后的判定结果","EX037","是","S2"
"去掉资源所处状态后的判定结果","EX037","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX037","否","S1|S2"
"去掉触发位置边界后的判定结果","EX038","是","S2"
"去掉资源所处状态后的判定结果","EX038","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX038","否","S1|S2"
"去掉触发位置边界后的判定结果","EX039","是","S2"
"去掉资源所处状态后的判定结果","EX039","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX039","否","S1|S2"
"去掉触发位置边界后的判定结果","EX040","是","S2"
"去掉资源所处状态后的判定结果","EX040","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX040","否","S1|S2"
"去掉触发位置边界后的判定结果","EX041","是","S2"
"去掉资源所处状态后的判定结果","EX041","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX041","否","S1|S2"
"去掉触发位置边界后的判定结果","EX042","是","S2"
"去掉资源所处状态后的判定结果","EX042","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX042","否","S1|S2"
"去掉触发位置边界后的判定结果","EX043","是","S2"
"去掉资源所处状态后的判定结果","EX043","否","S1|S2"
"去掉隔离跨越度后的判定结果","EX043","否","S1|S2"
"去掉触发位置边界后的判定结果","EX044","是","S2"
